n_neighbors,mse
1,32.70847666517229
2,21.832599987655392
3,24.115990574665947
4,28.578495019911774
5,34.54638839695808
6,38.48889312156161
7,41.359586284292845
8,44.74233323749254
9,46.85848408677669
10,48.743117148525805
11,48.448218343726126
12,47.33808420204144
13,47.96683239370651
14,49.226347173344955
15,51.074584028895835
16,52.405223835032906
17,52.33326112630888
18,51.277981686360405
19,50.039948070819
20,49.86390614757107
21,49.30112237329431
22,48.644505524431175
23,48.00564082707153
24,47.93091773474637
25,48.465290657427566
26,48.79750817468699
27,48.373818277779606
28,48.35010404054702
29,48.2918419586216
30,48.143401770085305
31,48.10280975260336
32,48.2641068058501
33,48.11401126152289
34,47.732904768663595
35,47.53809310453209
36,47.57565496285374
37,47.68591630334436
38,47.658252765589076
39,47.686737511772485
40,48.22467339352266
41,49.23256261497053
42,49.428078985065426
43,49.470999212132135
44,49.05906232323656
45,49.90107231300966
46,50.455747482739085
47,51.30199636913085
48,52.18361303032705
49,53.18511215692601
50,53.899619525504285
51,54.61977399723001
52,55.34290510182353
53,56.043763700347235
54,57.23618665687932
55,58.04636696350075
56,58.9968672965604
57,59.9915022530889
58,61.11578660825235
59,62.12597921100402
