max_features,mse
1,16.802712680936878
2,26.619679164904404
3,26.67756829442417
4,20.406253830245472
5,24.905979393197043
6,25.24635368174058
7,24.940500407483462
8,30.188834686394706
9,22.333702971584636
10,22.14090506410283
11,27.797263082911787
12,23.83603028282894
13,22.393609990566915
14,27.415278494502466
15,24.008492240827216
16,24.16038028361548
17,26.305928819578636
18,26.631918890751667
19,34.299490419035784
20,24.34590259158891
21,23.48334533465739
22,22.992586851719516
23,24.37437681676032
24,27.542778678279202
25,24.273800210848243
26,29.77104649137616
27,25.475419482395964
28,24.473895643536252
29,28.661995808387047
30,24.051379052428594
31,28.634349331708677
32,29.70880695190062
33,27.287650666367767
34,31.391942166760845
35,28.06290394099495
36,30.123457601594787
37,24.289097919108393
38,28.45029657161655
39,26.27593809345024
40,28.55874745968276
41,32.46047383770906
42,26.637455976236886
43,28.248691490199484
44,25.319993620478453
45,23.715154030525415
46,24.161720273504283
47,27.105845263699784
48,26.64380726599576
49,26.225325270712972
50,26.53352511531571
51,22.3340832043515
52,26.201295099246668
53,26.153222023387112
54,23.442405514353087
55,26.311446982521996
56,26.207729483279678
57,25.51440196832949
58,22.534875298077143
59,20.87361369302273
60,19.9072631428117
61,21.048463408584393
62,18.6109367893076
63,20.056425122727045
64,17.92312955702626
65,19.719778717337284
66,18.481657692311174
67,18.481657692311174
68,18.481657692311174
69,18.481657692311174
70,18.481657692311174
71,18.481657692311174
72,18.481657692311174
73,18.481657692311174
74,18.481657692311174
75,18.481657692311174
76,18.481657692311174
77,18.481657692311174
78,18.481657692311174
79,18.481657692311174
80,18.481657692311174
81,18.481657692311174
82,18.481657692311174
83,18.481657692311174
84,18.481657692311174
85,18.481657692311174
86,18.481657692311174
87,18.481657692311174
88,18.481657692311174
89,18.481657692311174
90,18.481657692311174
91,18.481657692311174
92,18.481657692311174
93,18.481657692311174
94,18.481657692311174
95,18.481657692311174
96,18.481657692311174
97,18.481657692311174
98,18.481657692311174
99,18.481657692311174
100,18.481657692311174
101,18.481657692311174
102,18.481657692311174
103,18.481657692311174
104,18.481657692311174
105,18.481657692311174
106,18.481657692311174
107,18.481657692311174
108,18.481657692311174
109,18.481657692311174
110,18.481657692311174
111,18.481657692311174
112,18.481657692311174
113,18.481657692311174
114,18.481657692311174
115,18.481657692311174
116,18.481657692311174
117,18.481657692311174
118,18.481657692311174
119,18.481657692311174
120,18.481657692311174
121,18.481657692311174
122,18.481657692311174
123,18.481657692311174
124,18.481657692311174
125,18.481657692311174
126,18.481657692311174
127,18.481657692311174
128,18.481657692311174
