p,MAE
1,3.0873695652391304
2,3.215251207753623
3,3.2897439613768116
4,3.2845845410869563
5,3.1719903381884054
6,3.4108236715217393
7,3.7854613526811596
8,3.8293019323913056
9,3.6300193236956524
10,3.6129975845652176
