min_child_weight,MAE
1,5.953188576507042
2,4.385849361712165
3,3.9417657016140755
4,3.874109717537174
5,4.017553190579095
6,3.8277373201247484
7,3.7708051903771236
8,3.870335720568974
9,3.8388812277183946
10,4.055530108730509
11,4.026366279189649
12,3.9731637265877375
13,3.9915502401871876
14,4.063123465671566
15,4.0954218551858546
16,4.082638442048639
17,4.1028551081596865
18,4.2108916722126555
19,4.187267187811837
20,4.166676380664188
21,4.282691616730923
22,4.229330132538505
23,4.212648598832144
24,4.179406761358261
25,4.245654105323459
26,4.288869989276443
27,4.109054003137256
28,4.111106344197619
29,4.140497555658948
30,4.089953415078178
31,4.301919563157482
32,4.193896305020816
33,4.257736698159785
34,4.032688726095697
35,4.032586859511804
36,4.024917738011862
37,4.007184886253909
38,4.003380478909562
39,4.011599844577168
40,4.075137195603219
41,4.067726343316092
42,3.9969540816844304
43,4.00196506308351
44,4.083514568476221
45,4.03878026657743
46,3.998882553469091
47,4.019303287421959
48,4.009574647363193
49,4.045140204499677
