leaf_size,MAE
1,3.215251207753623
2,3.215251207753623
3,3.215251207753623
4,3.215251207753623
5,3.215251207753623
6,3.215251207753623
7,3.215251207753623
8,3.215251207753623
9,3.215251207753623
10,3.215251207753623
11,3.215251207753623
12,3.215251207753623
13,3.215251207753623
14,3.215251207753623
15,3.215251207753623
16,3.215251207753623
17,3.215251207753623
18,3.215251207753623
19,3.215251207753623
20,3.215251207753623
21,3.215251207753623
22,3.215251207753623
23,3.215251207753623
24,3.215251207753623
25,3.215251207753623
26,3.215251207753623
27,3.215251207753623
28,3.215251207753623
29,3.215251207753623
30,3.215251207753623
31,3.215251207753623
32,3.215251207753623
33,3.215251207753623
34,3.215251207753623
35,3.215251207753623
36,3.215251207753623
37,3.215251207753623
38,3.215251207753623
39,3.215251207753623
40,3.215251207753623
41,3.215251207753623
42,3.215251207753623
43,3.215251207753623
44,3.215251207753623
45,3.215251207753623
46,3.215251207753623
47,3.215251207753623
48,3.215251207753623
49,3.215251207753623
50,3.215251207753623
51,3.215251207753623
52,3.215251207753623
53,3.215251207753623
54,3.215251207753623
55,3.215251207753623
56,3.215251207753623
57,3.215251207753623
58,3.215251207753623
59,3.215251207753623
60,3.215251207753623
61,3.215251207753623
62,3.215251207753623
63,3.215251207753623
64,3.215251207753623
65,3.215251207753623
66,3.215251207753623
67,3.215251207753623
68,3.215251207753623
69,3.215251207753623
70,3.215251207753623
71,3.215251207753623
72,3.215251207753623
73,3.215251207753623
74,3.215251207753623
75,3.215251207753623
76,3.215251207753623
77,3.215251207753623
78,3.215251207753623
79,3.215251207753623
80,3.215251207753623
81,3.215251207753623
82,3.215251207753623
83,3.215251207753623
84,3.215251207753623
85,3.215251207753623
86,3.215251207753623
87,3.215251207753623
88,3.215251207753623
89,3.215251207753623
90,3.215251207753623
91,3.215251207753623
92,3.215251207753623
93,3.215251207753623
94,3.215251207753623
95,3.215251207753623
96,3.215251207753623
97,3.215251207753623
98,3.215251207753623
99,3.215251207753623
100,3.215251207753623
101,3.215251207753623
102,3.215251207753623
103,3.215251207753623
104,3.215251207753623
105,3.215251207753623
106,3.215251207753623
107,3.215251207753623
108,3.215251207753623
109,3.215251207753623
110,3.215251207753623
111,3.215251207753623
112,3.215251207753623
113,3.215251207753623
114,3.215251207753623
115,3.215251207753623
116,3.215251207753623
117,3.215251207753623
118,3.215251207753623
119,3.215251207753623
120,3.215251207753623
121,3.215251207753623
122,3.215251207753623
123,3.215251207753623
124,3.215251207753623
125,3.215251207753623
126,3.215251207753623
127,3.215251207753623
