formula,original_formula,thermal_expansion,li ion conductivity
Li0.1053Al0.0000Bi0.0526Ti0.0526P0.1579O0.6316,Li2.0Al0.0Bi1.0Ti1.0P3O12,8.129335,
Li0.1053Al0.0088Bi0.0439Ti0.0526P0.1579O0.6316,Li2.0Al0.1667Bi0.8333Ti1.0P3O12,8.129335,0.005177861493673432
Li0.1053Al0.0175Bi0.0351Ti0.0526P0.1579O0.6316,Li2.0Al0.3333Bi0.6667Ti1.0P3O12,8.129335,0.010687832920580342
Li0.1053Al0.0263Bi0.0263Ti0.0526P0.1579O0.6316,Li2.0Al0.5Bi0.5Ti1.0P3O12,9.533785,0.015715187970052148
Li0.1053Al0.0351Bi0.0175Ti0.0526P0.1579O0.6316,Li2.0Al0.6667Bi0.3333Ti1.0P3O12,9.533785,0.021171205271447995
Li0.1053Al0.0439Bi0.0088Ti0.0526P0.1579O0.6316,Li2.0Al0.8333Bi0.1667Ti1.0P3O12,9.533785,0.030325981171711376
Li0.1053Al0.0526Bi0.0000Ti0.0526P0.1579O0.6316,Li2.0Al1.0Bi0.0Ti1.0P3O12,9.533785,
Li0.1130Al0.0000Bi0.0609Ti0.0435P0.1565O0.6261,Li2.1667Al0.0Bi1.1667Ti0.8333P3O12,8.129335,
Li0.1130Al0.0087Bi0.0522Ti0.0435P0.1565O0.6261,Li2.1667Al0.1667Bi1.0Ti0.8333P3O12,8.129335,0.04769810540864153
Li0.1130Al0.0261Bi0.0348Ti0.0435P0.1565O0.6261,Li2.1667Al0.5Bi0.6667Ti0.8333P3O12,9.533785,9.062593535955851e-06
Li0.1130Al0.0348Bi0.0261Ti0.0435P0.1565O0.6261,Li2.1667Al0.6667Bi0.5Ti0.8333P3O12,9.533785,1.1358294108676971e-05
Li0.1130Al0.0522Bi0.0087Ti0.0435P0.1565O0.6261,Li2.1667Al1.0Bi0.1667Ti0.8333P3O12,9.533785,0.18454166982250406
Li0.1130Al0.0609Bi0.0000Ti0.0435P0.1565O0.6261,Li2.1667Al1.1667Bi0.0Ti0.8333P3O12,9.286814,
Li0.1207Al0.0000Bi0.0690Ti0.0345P0.1552O0.6207,Li2.3333Al0.0Bi1.3333Ti0.6667P3O12,8.129335,
Li0.1207Al0.0172Bi0.0517Ti0.0345P0.1552O0.6207,Li2.3333Al0.3333Bi1.0Ti0.6667P3O12,8.129335,0.07120421190697603
Li0.1207Al0.0259Bi0.0431Ti0.0345P0.1552O0.6207,Li2.3333Al0.5Bi0.8333Ti0.6667P3O12,9.533785,6.740963878885846e-06
Li0.1207Al0.0431Bi0.0259Ti0.0345P0.1552O0.6207,Li2.3333Al0.8333Bi0.5Ti0.6667P3O12,9.533785,9.500969939237225e-06
Li0.1207Al0.0517Bi0.0172Ti0.0345P0.1552O0.6207,Li2.3333Al1.0Bi0.3333Ti0.6667P3O12,9.533785,0.2474734996793289
Li0.1207Al0.0690Bi0.0000Ti0.0345P0.1552O0.6207,Li2.3333Al1.3333Bi0.0Ti0.6667P3O12,9.286814,
Li0.1282Al0.0000Bi0.0769Ti0.0256P0.1538O0.6154,Li2.5Al0.0Bi1.5Ti0.5P3O12,8.129335,
Li0.1282Al0.0085Bi0.0684Ti0.0256P0.1538O0.6154,Li2.5Al0.1667Bi1.3333Ti0.5P3O12,8.129335,0.05144303691034271
Li0.1282Al0.0171Bi0.0598Ti0.0256P0.1538O0.6154,Li2.5Al0.3333Bi1.1667Ti0.5P3O12,8.129335,0.07721115587029186
Li0.1282Al0.0256Bi0.0513Ti0.0256P0.1538O0.6154,Li2.5Al0.5Bi1.0Ti0.5P3O12,9.533785,0.10035378263653073
Li0.1282Al0.0342Bi0.0427Ti0.0256P0.1538O0.6154,Li2.5Al0.6667Bi0.8333Ti0.5P3O12,9.533785,5.673610530585243e-06
Li0.1282Al0.0427Bi0.0342Ti0.0256P0.1538O0.6154,Li2.5Al0.8333Bi0.6667Ti0.5P3O12,9.533785,6.414647191874319e-06
Li0.1282Al0.0513Bi0.0256Ti0.0256P0.1538O0.6154,Li2.5Al1.0Bi0.5Ti0.5P3O12,9.533785,0.29582086660852314
Li0.1282Al0.0598Bi0.0171Ti0.0256P0.1538O0.6154,Li2.5Al1.1667Bi0.3333Ti0.5P3O12,9.286814,0.2602448518039178
Li0.1282Al0.0684Bi0.0085Ti0.0256P0.1538O0.6154,Li2.5Al1.3333Bi0.1667Ti0.5P3O12,9.286814,0.20496900127902126
Li0.1282Al0.0769Bi0.0000Ti0.0256P0.1538O0.6154,Li2.5Al1.5Bi0.0Ti0.5P3O12,9.286814,
Li0.1356Al0.0000Bi0.0847Ti0.0169P0.1525O0.6102,Li2.6667Al0.0Bi1.6667Ti0.3333P3O12,8.129335,
Li0.1356Al0.0085Bi0.0763Ti0.0169P0.1525O0.6102,Li2.6667Al0.1667Bi1.5Ti0.3333P3O12,8.129335,0.05736461774966283
Li0.1356Al0.0254Bi0.0593Ti0.0169P0.1525O0.6102,Li2.6667Al0.5Bi1.1667Ti0.3333P3O12,9.533785,0.11494160495771932
Li0.1356Al0.0339Bi0.0508Ti0.0169P0.1525O0.6102,Li2.6667Al0.6667Bi1.0Ti0.3333P3O12,9.533785,0.13414226093697823
Li0.1356Al0.0508Bi0.0339Ti0.0169P0.1525O0.6102,Li2.6667Al1.0Bi0.6667Ti0.3333P3O12,9.533785,0.344314724060001
Li0.1356Al0.0593Bi0.0254Ti0.0169P0.1525O0.6102,Li2.6667Al1.1667Bi0.5Ti0.3333P3O12,9.286814,0.31422641384878486
Li0.1356Al0.0763Bi0.0085Ti0.0169P0.1525O0.6102,Li2.6667Al1.5Bi0.1667Ti0.3333P3O12,9.286814,0.21750839062484265
Li0.1356Al0.0847Bi0.0000Ti0.0169P0.1525O0.6102,Li2.6667Al1.6667Bi0.0Ti0.3333P3O12,9.286814,
Li0.1429Al0.0000Bi0.0924Ti0.0084P0.1513O0.6050,Li2.8333Al0.0Bi1.8333Ti0.1667P3O12,11.860868,
Li0.1429Al0.0168Bi0.0756Ti0.0084P0.1513O0.6050,Li2.8333Al0.3333Bi1.5Ti0.1667P3O12,11.860868,0.11499096008235446
Li0.1429Al0.0252Bi0.0672Ti0.0084P0.1513O0.6050,Li2.8333Al0.5Bi1.3333Ti0.1667P3O12,13.265314,0.1485027756218665
Li0.1429Al0.0420Bi0.0504Ti0.0084P0.1513O0.6050,Li2.8333Al0.8333Bi1.0Ti0.1667P3O12,13.265314,0.19997394533857393
Li0.1429Al0.0504Bi0.0420Ti0.0084P0.1513O0.6050,Li2.8333Al1.0Bi0.8333Ti0.1667P3O12,13.265314,0.414765722706312
Li0.1429Al0.0672Bi0.0252Ti0.0084P0.1513O0.6050,Li2.8333Al1.3333Bi0.5Ti0.1667P3O12,13.018343,0.34797688652179654
Li0.1429Al0.0756Bi0.0168Ti0.0084P0.1513O0.6050,Li2.8333Al1.5Bi0.3333Ti0.1667P3O12,13.018343,0.305673552284558
Li0.1429Al0.0924Bi0.0000Ti0.0084P0.1513O0.6050,Li2.8333Al1.8333Bi0.0Ti0.1667P3O12,13.018343,
Li0.1500Al0.0000Bi0.1000Ti0.0000P0.1500O0.6000,Li3.0Al0.0Bi2.0Ti0.0P3O12,14.981435,
Li0.1500Al0.0083Bi0.0917Ti0.0000P0.1500O0.6000,Li3.0Al0.1667Bi1.8333Ti0.0P3O12,15.206924,
Li0.1500Al0.0167Bi0.0833Ti0.0000P0.1500O0.6000,Li3.0Al0.3333Bi1.6667Ti0.0P3O12,15.206924,
Li0.1500Al0.0250Bi0.0750Ti0.0000P0.1500O0.6000,Li3.0Al0.5Bi1.5Ti0.0P3O12,15.317582,
Li0.1500Al0.0333Bi0.0667Ti0.0000P0.1500O0.6000,Li3.0Al0.6667Bi1.3333Ti0.0P3O12,15.317582,
Li0.1500Al0.0417Bi0.0583Ti0.0000P0.1500O0.6000,Li3.0Al0.8333Bi1.1667Ti0.0P3O12,15.317582,
Li0.1500Al0.0500Bi0.0500Ti0.0000P0.1500O0.6000,Li3.0Al1.0Bi1.0Ti0.0P3O12,15.317582,
Li0.1500Al0.0583Bi0.0417Ti0.0000P0.1500O0.6000,Li3.0Al1.1667Bi0.8333Ti0.0P3O12,15.317582,
Li0.1500Al0.0667Bi0.0333Ti0.0000P0.1500O0.6000,Li3.0Al1.3333Bi0.6667Ti0.0P3O12,15.070612,
Li0.1500Al0.0750Bi0.0250Ti0.0000P0.1500O0.6000,Li3.0Al1.5Bi0.5Ti0.0P3O12,15.070612,
Li0.1500Al0.0833Bi0.0167Ti0.0000P0.1500O0.6000,Li3.0Al1.6667Bi0.3333Ti0.0P3O12,15.070612,
Li0.1500Al0.0917Bi0.0083Ti0.0000P0.1500O0.6000,Li3.0Al1.8333Bi0.1667Ti0.0P3O12,15.070612,
Li0.1500Al0.1000Bi0.0000Ti0.0000P0.1500O0.6000,Li3.0Al2.0Bi0.0Ti0.0P3O12,15.867943,
Li0.0556As0.0000Al0.0000Ti0.1111P0.1667O0.6667,Li1.0As0.0Al0.0Ti2.0P3O12,7.7087817,
Li0.0642As0.0000Al0.0092Ti0.1009P0.1651O0.6605,Li1.1667As0.0Al0.1667Ti1.8333P3O12,7.7087817,
Li0.0642As0.0092Al0.0000Ti0.1009P0.1651O0.6605,Li1.1667As0.1667Al0.0Ti1.8333P3O12,7.7087817,
Li0.0727As0.0000Al0.0182Ti0.0909P0.1636O0.6545,Li1.3333As0.0Al0.3333Ti1.6667P3O12,9.113234,
Li0.0727As0.0182Al0.0000Ti0.0909P0.1636O0.6545,Li1.3333As0.3333Al0.0Ti1.6667P3O12,7.7087817,
Li0.0811As0.0000Al0.0270Ti0.0811P0.1622O0.6486,Li1.5As0.0Al0.5Ti1.5P3O12,9.155256,
Li0.0811As0.0090Al0.0180Ti0.0811P0.1622O0.6486,Li1.5As0.1667Al0.3333Ti1.5P3O12,9.155256,1.2764036164056471
Li0.0811As0.0180Al0.0090Ti0.0811P0.1622O0.6486,Li1.5As0.3333Al0.1667Ti1.5P3O12,7.750805,1.948550716462615
Li0.0811As0.0270Al0.0000Ti0.0811P0.1622O0.6486,Li1.5As0.5Al0.0Ti1.5P3O12,7.750805,
Li0.0893As0.0000Al0.0357Ti0.0714P0.1607O0.6429,Li1.6667As0.0Al0.6667Ti1.3333P3O12,9.533785,
Li0.0893As0.0089Al0.0268Ti0.0714P0.1607O0.6429,Li1.6667As0.1667Al0.5Ti1.3333P3O12,9.533785,1.228382254794866
Li0.0893As0.0268Al0.0089Ti0.0714P0.1607O0.6429,Li1.6667As0.5Al0.1667Ti1.3333P3O12,8.129335,2.203495814944989
Li0.0893As0.0357Al0.0000Ti0.0714P0.1607O0.6429,Li1.6667As0.6667Al0.0Ti1.3333P3O12,8.129335,
Li0.0973As0.0000Al0.0442Ti0.0619P0.1593O0.6372,Li1.8333As0.0Al0.8333Ti1.1667P3O12,9.533785,
Li0.0973As0.0177Al0.0265Ti0.0619P0.1593O0.6372,Li1.8333As0.3333Al0.5Ti1.1667P3O12,9.533785,1.6237256003242388
Li0.0973As0.0265Al0.0177Ti0.0619P0.1593O0.6372,Li1.8333As0.5Al0.3333Ti1.1667P3O12,9.533785,1.9185918177716352
Li0.0973As0.0442Al0.0000Ti0.0619P0.1593O0.6372,Li1.8333As0.8333Al0.0Ti1.1667P3O12,8.129335,
Li0.1053As0.0000Al0.0526Ti0.0526P0.1579O0.6316,Li2.0As0.0Al1.0Ti1.0P3O12,9.533785,
Li0.1053As0.0088Al0.0439Ti0.0526P0.1579O0.6316,Li2.0As0.1667Al0.8333Ti1.0P3O12,9.533785,1.1554091326662637
Li0.1053As0.0175Al0.0351Ti0.0526P0.1579O0.6316,Li2.0As0.3333Al0.6667Ti1.0P3O12,9.533785,1.5901905051295406
Li0.1053As0.0263Al0.0263Ti0.0526P0.1579O0.6316,Li2.0As0.5Al0.5Ti1.0P3O12,9.533785,1.829401681785289
Li0.1053As0.0351Al0.0175Ti0.0526P0.1579O0.6316,Li2.0As0.6667Al0.3333Ti1.0P3O12,8.129335,2.045633051430231
Li0.1053As0.0439Al0.0088Ti0.0526P0.1579O0.6316,Li2.0As0.8333Al0.1667Ti1.0P3O12,8.129335,2.4374820883351784
Li0.1053As0.0526Al0.0000Ti0.0526P0.1579O0.6316,Li2.0As1.0Al0.0Ti1.0P3O12,8.129335,
Li0.1130As0.0000Al0.0609Ti0.0435P0.1565O0.6261,Li2.1667As0.0Al1.1667Ti0.8333P3O12,9.286814,
Li0.1130As0.0087Al0.0522Ti0.0435P0.1565O0.6261,Li2.1667As0.1667Al1.0Ti0.8333P3O12,9.533785,0.07001314038011469
Li0.1130As0.0261Al0.0348Ti0.0435P0.1565O0.6261,Li2.1667As0.5Al0.6667Ti0.8333P3O12,9.533785,0.04541206481130048
Li0.1130As0.0348Al0.0261Ti0.0435P0.1565O0.6261,Li2.1667As0.6667Al0.5Ti0.8333P3O12,9.533785,0.04822157232611333
Li0.1130As0.0522Al0.0087Ti0.0435P0.1565O0.6261,Li2.1667As1.0Al0.1667Ti0.8333P3O12,8.129335,0.02489012559190136
Li0.1130As0.0609Al0.0000Ti0.0435P0.1565O0.6261,Li2.1667As1.1667Al0.0Ti0.8333P3O12,8.129335,
Li0.1207As0.0000Al0.0690Ti0.0345P0.1552O0.6207,Li2.3333As0.0Al1.3333Ti0.6667P3O12,9.286814,
Li0.1207As0.0172Al0.0517Ti0.0345P0.1552O0.6207,Li2.3333As0.3333Al1.0Ti0.6667P3O12,9.533785,0.05677773284455055
Li0.1207As0.0259Al0.0431Ti0.0345P0.1552O0.6207,Li2.3333As0.5Al0.8333Ti0.6667P3O12,9.533785,0.03244818534295961
Li0.1207As0.0431Al0.0259Ti0.0345P0.1552O0.6207,Li2.3333As0.8333Al0.5Ti0.6667P3O12,9.533785,0.03676111538230314
Li0.1207As0.0517Al0.0172Ti0.0345P0.1552O0.6207,Li2.3333As1.0Al0.3333Ti0.6667P3O12,8.129335,0.07246891647884691
Li0.1207As0.0690Al0.0000Ti0.0345P0.1552O0.6207,Li2.3333As1.3333Al0.0Ti0.6667P3O12,8.129335,
Li0.1282As0.0000Al0.0769Ti0.0256P0.1538O0.6154,Li2.5As0.0Al1.5Ti0.5P3O12,9.286814,
Li0.1282As0.0085Al0.0684Ti0.0256P0.1538O0.6154,Li2.5As0.1667Al1.3333Ti0.5P3O12,9.286814,0.10384117196785103
Li0.1282As0.0171Al0.0598Ti0.0256P0.1538O0.6154,Li2.5As0.3333Al1.1667Ti0.5P3O12,9.286814,0.07427993995479452
Li0.1282As0.0256Al0.0513Ti0.0256P0.1538O0.6154,Li2.5As0.5Al1.0Ti0.5P3O12,9.533785,0.05317745613199187
Li0.1282As0.0342Al0.0427Ti0.0256P0.1538O0.6154,Li2.5As0.6667Al0.8333Ti0.5P3O12,9.533785,0.022888645561293133
Li0.1282As0.0427Al0.0342Ti0.0256P0.1538O0.6154,Li2.5As0.8333Al0.6667Ti0.5P3O12,9.533785,0.024673133692953216
Li0.1282As0.0513Al0.0256Ti0.0256P0.1538O0.6154,Li2.5As1.0Al0.5Ti0.5P3O12,9.533785,0.13804285506881972
Li0.1282As0.0598Al0.0171Ti0.0256P0.1538O0.6154,Li2.5As1.1667Al0.3333Ti0.5P3O12,8.129335,0.09584348877976709
Li0.1282As0.0684Al0.0085Ti0.0256P0.1538O0.6154,Li2.5As1.3333Al0.1667Ti0.5P3O12,8.129335,0.03906735788519093
Li0.1282As0.0769Al0.0000Ti0.0256P0.1538O0.6154,Li2.5As1.5Al0.0Ti0.5P3O12,8.129335,
Li0.1356As0.0000Al0.0847Ti0.0169P0.1525O0.6102,Li2.6667As0.0Al1.6667Ti0.3333P3O12,9.286814,
Li0.1356As0.0085Al0.0763Ti0.0169P0.1525O0.6102,Li2.6667As0.1667Al1.5Ti0.3333P3O12,9.286814,0.1532642198889624
Li0.1356As0.0254Al0.0593Ti0.0169P0.1525O0.6102,Li2.6667As0.5Al1.1667Ti0.3333P3O12,9.286814,0.08293345950156795
Li0.1356As0.0339Al0.0508Ti0.0169P0.1525O0.6102,Li2.6667As0.6667Al1.0Ti0.3333P3O12,9.533785,0.06480297782208527
Li0.1356As0.0508Al0.0339Ti0.0169P0.1525O0.6102,Li2.6667As1.0Al0.6667Ti0.3333P3O12,9.533785,0.2229678689324518
Li0.1356As0.0593Al0.0254Ti0.0169P0.1525O0.6102,Li2.6667As1.1667Al0.5Ti0.3333P3O12,9.533785,0.19484587232588477
Li0.1356As0.0763Al0.0085Ti0.0169P0.1525O0.6102,Li2.6667As1.5Al0.1667Ti0.3333P3O12,8.129335,0.05930018250893004
Li0.1356As0.0847Al0.0000Ti0.0169P0.1525O0.6102,Li2.6667As1.6667Al0.0Ti0.3333P3O12,8.129335,
Li0.1429As0.0000Al0.0924Ti0.0084P0.1513O0.6050,Li2.8333As0.0Al1.8333Ti0.1667P3O12,13.018343,
Li0.1429As0.0168Al0.0756Ti0.0084P0.1513O0.6050,Li2.8333As0.3333Al1.5Ti0.1667P3O12,13.018343,0.23275538041589508
Li0.1429As0.0252Al0.0672Ti0.0084P0.1513O0.6050,Li2.8333As0.5Al1.3333Ti0.1667P3O12,13.018343,0.1813322561040928
Li0.1429As0.0420Al0.0504Ti0.0084P0.1513O0.6050,Li2.8333As0.8333Al1.0Ti0.1667P3O12,13.265314,0.12142767623776285
Li0.1429As0.0504Al0.0420Ti0.0084P0.1513O0.6050,Li2.8333As1.0Al0.8333Ti0.1667P3O12,13.265314,0.39924802918463503
Li0.1429As0.0672Al0.0252Ti0.0084P0.1513O0.6050,Li2.8333As1.3333Al0.5Ti0.1667P3O12,13.265314,0.31774084780143896
Li0.1429As0.0756Al0.0168Ti0.0084P0.1513O0.6050,Li2.8333As1.5Al0.3333Ti0.1667P3O12,11.860868,0.2327420916500977
Li0.1429As0.0924Al0.0000Ti0.0084P0.1513O0.6050,Li2.8333As1.8333Al0.0Ti0.1667P3O12,11.860868,
Li0.1500As0.0000Al0.1000Ti0.0000P0.1500O0.6000,Li3.0As0.0Al2.0Ti0.0P3O12,15.867943,
Li0.1500As0.0083Al0.0917Ti0.0000P0.1500O0.6000,Li3.0As0.1667Al1.8333Ti0.0P3O12,15.070612,
Li0.1500As0.0167Al0.0833Ti0.0000P0.1500O0.6000,Li3.0As0.3333Al1.6667Ti0.0P3O12,15.070612,
Li0.1500As0.0250Al0.0750Ti0.0000P0.1500O0.6000,Li3.0As0.5Al1.5Ti0.0P3O12,15.070612,
Li0.1500As0.0333Al0.0667Ti0.0000P0.1500O0.6000,Li3.0As0.6667Al1.3333Ti0.0P3O12,15.070612,
Li0.1500As0.0417Al0.0583Ti0.0000P0.1500O0.6000,Li3.0As0.8333Al1.1667Ti0.0P3O12,15.317582,
Li0.1500As0.0500Al0.0500Ti0.0000P0.1500O0.6000,Li3.0As1.0Al1.0Ti0.0P3O12,15.317582,
Li0.1500As0.0583Al0.0417Ti0.0000P0.1500O0.6000,Li3.0As1.1667Al0.8333Ti0.0P3O12,15.317582,
Li0.1500As0.0667Al0.0333Ti0.0000P0.1500O0.6000,Li3.0As1.3333Al0.6667Ti0.0P3O12,15.317582,
Li0.1500As0.0750Al0.0250Ti0.0000P0.1500O0.6000,Li3.0As1.5Al0.5Ti0.0P3O12,15.317582,
Li0.1500As0.0833Al0.0167Ti0.0000P0.1500O0.6000,Li3.0As1.6667Al0.3333Ti0.0P3O12,15.206924,
Li0.1500As0.0917Al0.0083Ti0.0000P0.1500O0.6000,Li3.0As1.8333Al0.1667Ti0.0P3O12,15.206924,
Li0.1500As0.1000Al0.0000Ti0.0000P0.1500O0.6000,Li3.0As2.0Al0.0Ti0.0P3O12,15.206924,
Li0.0556As0.0000Ti0.1111P0.1667O0.6667,Li1.0As0.0As0.0Ti2.0P3O12,7.7087817,
Li0.0642As0.0092Ti0.1009P0.1651O0.6605,Li1.1667As0.0As0.1667Ti1.8333P3O12,7.7087817,0.425932137728525
Li0.0642As0.0092Ti0.1009P0.1651O0.6605,Li1.1667As0.1667As0.0Ti1.8333P3O12,7.7087817,
Li0.0727As0.0182Ti0.0909P0.1636O0.6545,Li1.3333As0.0As0.3333Ti1.6667P3O12,7.7087817,0.3054950565619106
Li0.0727As0.0182Ti0.0909P0.1636O0.6545,Li1.3333As0.3333As0.0Ti1.6667P3O12,7.7087817,
Li0.0811As0.0270Ti0.0811P0.1622O0.6486,Li1.5As0.0As0.5Ti1.5P3O12,7.750805,0.16562558185789406
Li0.0811As0.0270Ti0.0811P0.1622O0.6486,Li1.5As0.1667As0.3333Ti1.5P3O12,7.750805,0.2713054806213745
Li0.0811As0.0270Ti0.0811P0.1622O0.6486,Li1.5As0.3333As0.1667Ti1.5P3O12,7.750805,0.3519538027664313
Li0.0811As0.0270Ti0.0811P0.1622O0.6486,Li1.5As0.5As0.0Ti1.5P3O12,7.750805,
Li0.0893As0.0357Ti0.0714P0.1607O0.6429,Li1.6667As0.0As0.6667Ti1.3333P3O12,8.129335,0.09162906859388488
Li0.0893As0.0357Ti0.0714P0.1607O0.6429,Li1.6667As0.1667As0.5Ti1.3333P3O12,8.129335,0.14288279727877834
Li0.0893As0.0357Ti0.0714P0.1607O0.6429,Li1.6667As0.5As0.1667Ti1.3333P3O12,8.129335,0.32038045807811766
Li0.0893As0.0357Ti0.0714P0.1607O0.6429,Li1.6667As0.6667As0.0Ti1.3333P3O12,8.129335,
Li0.0973As0.0442Ti0.0619P0.1593O0.6372,Li1.8333As0.0As0.8333Ti1.1667P3O12,8.129335,0.055347896481962415
Li0.0973As0.0442Ti0.0619P0.1593O0.6372,Li1.8333As0.3333As0.5Ti1.1667P3O12,8.129335,0.12346718371330652
Li0.0973As0.0442Ti0.0619P0.1593O0.6372,Li1.8333As0.5As0.3333Ti1.1667P3O12,8.129335,0.208168687020997
Li0.0973As0.0442Ti0.0619P0.1593O0.6372,Li1.8333As0.8333As0.0Ti1.1667P3O12,8.129335,
Li0.1053As0.0526Ti0.0526P0.1579O0.6316,Li2.0As0.0As1.0Ti1.0P3O12,8.129335,9.398131858359514e-05
Li0.1053As0.0526Ti0.0526P0.1579O0.6316,Li2.0As0.1667As0.8333Ti1.0P3O12,8.129335,0.04766674582915341
Li0.1053As0.0526Ti0.0526P0.1579O0.6316,Li2.0As0.3333As0.6667Ti1.0P3O12,8.129335,0.06793211231968828
Li0.1053As0.0526Ti0.0526P0.1579O0.6316,Li2.0As0.5As0.5Ti1.0P3O12,8.129335,0.10634088198355472
Li0.1053As0.0526Ti0.0526P0.1579O0.6316,Li2.0As0.6667As0.3333Ti1.0P3O12,8.129335,0.1816784144337962
Li0.1053As0.0526Ti0.0526P0.1579O0.6316,Li2.0As0.8333As0.1667Ti1.0P3O12,8.129335,0.2652505084139502
Li0.1053As0.0526Ti0.0526P0.1579O0.6316,Li2.0As1.0As0.0Ti1.0P3O12,8.129335,
Li0.1130As0.0609Ti0.0435P0.1565O0.6261,Li2.1667As0.0As1.1667Ti0.8333P3O12,8.129335,0.0022021933811484664
Li0.1130As0.0609Ti0.0435P0.1565O0.6261,Li2.1667As0.1667As1.0Ti0.8333P3O12,8.129335,0.002183610751570315
Li0.1130As0.0609Ti0.0435P0.1565O0.6261,Li2.1667As0.5As0.6667Ti0.8333P3O12,8.129335,0.000522017119643573
Li0.1130As0.0609Ti0.0435P0.1565O0.6261,Li2.1667As0.6667As0.5Ti0.8333P3O12,8.129335,0.0006984054633098868
Li0.1130As0.0609Ti0.0435P0.1565O0.6261,Li2.1667As1.0As0.1667Ti0.8333P3O12,8.129335,0.0015537750020138187
Li0.1130As0.0609Ti0.0435P0.1565O0.6261,Li2.1667As1.1667As0.0Ti0.8333P3O12,8.129335,
Li0.1207As0.0690Ti0.0345P0.1552O0.6207,Li2.3333As0.0As1.3333Ti0.6667P3O12,8.129335,0.0019143970351114341
Li0.1207As0.0690Ti0.0345P0.1552O0.6207,Li2.3333As0.3333As1.0Ti0.6667P3O12,8.129335,0.0018709710603154305
Li0.1207As0.0690Ti0.0345P0.1552O0.6207,Li2.3333As0.5As0.8333Ti0.6667P3O12,8.129335,0.0005443748065247983
Li0.1207As0.0690Ti0.0345P0.1552O0.6207,Li2.3333As0.8333As0.5Ti0.6667P3O12,8.129335,0.0008816501545934305
Li0.1207As0.0690Ti0.0345P0.1552O0.6207,Li2.3333As1.0As0.3333Ti0.6667P3O12,8.129335,0.0012864138938325199
Li0.1207As0.0690Ti0.0345P0.1552O0.6207,Li2.3333As1.3333As0.0Ti0.6667P3O12,8.129335,
Li0.1282As0.0769Ti0.0256P0.1538O0.6154,Li2.5As0.0As1.5Ti0.5P3O12,8.129335,0.0015881708371187071
Li0.1282As0.0769Ti0.0256P0.1538O0.6154,Li2.5As0.1667As1.3333Ti0.5P3O12,8.129335,0.0015703459218152913
Li0.1282As0.0769Ti0.0256P0.1538O0.6154,Li2.5As0.3333As1.1667Ti0.5P3O12,8.129335,0.0015520188369016405
Li0.1282As0.0769Ti0.0256P0.1538O0.6154,Li2.5As0.5As1.0Ti0.5P3O12,8.129335,0.0015337473381191915
Li0.1282As0.0769Ti0.0256P0.1538O0.6154,Li2.5As0.6667As0.8333Ti0.5P3O12,8.129335,0.000773117640793404
Li0.1282As0.0769Ti0.0256P0.1538O0.6154,Li2.5As0.8333As0.6667Ti0.5P3O12,8.129335,0.0009430091680028637
Li0.1282As0.0769Ti0.0256P0.1538O0.6154,Li2.5As1.0As0.5Ti0.5P3O12,8.129335,0.0012525952053851427
Li0.1282As0.0769Ti0.0256P0.1538O0.6154,Li2.5As1.1667As0.3333Ti0.5P3O12,8.129335,0.0018338058253705787
Li0.1282As0.0769Ti0.0256P0.1538O0.6154,Li2.5As1.3333As0.1667Ti0.5P3O12,8.129335,0.0027767193708806625
Li0.1282As0.0769Ti0.0256P0.1538O0.6154,Li2.5As1.5As0.0Ti0.5P3O12,8.129335,
Li0.1356As0.0847Ti0.0169P0.1525O0.6102,Li2.6667As0.0As1.6667Ti0.3333P3O12,8.129335,0.0012262612168999199
Li0.1356As0.0847Ti0.0169P0.1525O0.6102,Li2.6667As0.1667As1.5Ti0.3333P3O12,8.129335,0.0012128071063205043
Li0.1356As0.0847Ti0.0169P0.1525O0.6102,Li2.6667As0.5As1.1667Ti0.3333P3O12,8.129335,0.001185384420470362
Li0.1356As0.0847Ti0.0169P0.1525O0.6102,Li2.6667As0.6667As1.0Ti0.3333P3O12,8.129335,0.0011731694170969635
Li0.1356As0.0847Ti0.0169P0.1525O0.6102,Li2.6667As1.0As0.6667Ti0.3333P3O12,8.129335,0.0015833480006382666
Li0.1356As0.0847Ti0.0169P0.1525O0.6102,Li2.6667As1.1667As0.5Ti0.3333P3O12,8.129335,0.002116330339561956
Li0.1356As0.0847Ti0.0169P0.1525O0.6102,Li2.6667As1.5As0.1667Ti0.3333P3O12,8.129335,0.0046982181036232555
Li0.1356As0.0847Ti0.0169P0.1525O0.6102,Li2.6667As1.6667As0.0Ti0.3333P3O12,8.129335,
Li0.1429As0.0924Ti0.0084P0.1513O0.6050,Li2.8333As0.0As1.8333Ti0.1667P3O12,11.860868,0.0007293116180529687
Li0.1429As0.0924Ti0.0084P0.1513O0.6050,Li2.8333As0.3333As1.5Ti0.1667P3O12,11.860868,0.0007142250958421897
Li0.1429As0.0924Ti0.0084P0.1513O0.6050,Li2.8333As0.5As1.3333Ti0.1667P3O12,11.860868,0.0007068109125204158
Li0.1429As0.0924Ti0.0084P0.1513O0.6050,Li2.8333As0.8333As1.0Ti0.1667P3O12,11.860868,0.000693114611061449
Li0.1429As0.0924Ti0.0084P0.1513O0.6050,Li2.8333As1.0As0.8333Ti0.1667P3O12,11.860868,0.0032202016781835837
Li0.1429As0.0924Ti0.0084P0.1513O0.6050,Li2.8333As1.3333As0.5Ti0.1667P3O12,11.860868,0.005221650140646532
