formula,original_formula,thermal_expansion,li ion conductivity
Li0.1282Al0.0769Ti0.0256P0.1538O0.6154,Li2.5Al1.3333Al0.1667Ti0.5P3O12,9.286814,0.017842483631001837
Li0.1282Al0.0769Ti0.0256P0.1538O0.6154,Li2.5Al1.5Al0.0Ti0.5P3O12,9.286814,
Li0.1356Al0.0847Ti0.0169P0.1525O0.6102,Li2.6667Al0.0Al1.6667Ti0.3333P3O12,9.286814,0.010079056413518184
Li0.1356Al0.0847Ti0.0169P0.1525O0.6102,Li2.6667Al0.1667Al1.5Ti0.3333P3O12,9.286814,0.010357864682570378
Li0.1356Al0.0847Ti0.0169P0.1525O0.6102,Li2.6667Al0.5Al1.1667Ti0.3333P3O12,9.286814,0.010872066571724103
Li0.1356Al0.0847Ti0.0169P0.1525O0.6102,Li2.6667Al0.6667Al1.0Ti0.3333P3O12,9.286814,0.011185257149639798
Li0.1356Al0.0847Ti0.0169P0.1525O0.6102,Li2.6667Al1.0Al0.6667Ti0.3333P3O12,9.286814,0.06585391230520321
Li0.1356Al0.0847Ti0.0169P0.1525O0.6102,Li2.6667Al1.1667Al0.5Ti0.3333P3O12,9.286814,0.06154829717045624
Li0.1356Al0.0847Ti0.0169P0.1525O0.6102,Li2.6667Al1.5Al0.1667Ti0.3333P3O12,9.286814,0.02715649104453558
Li0.1356Al0.0847Ti0.0169P0.1525O0.6102,Li2.6667Al1.6667Al0.0Ti0.3333P3O12,9.286814,
Li0.1429Al0.0924Ti0.0084P0.1513O0.6050,Li2.8333Al0.0Al1.8333Ti0.1667P3O12,13.018343,0.005312347596962579
Li0.1429Al0.0924Ti0.0084P0.1513O0.6050,Li2.8333Al0.3333Al1.5Ti0.1667P3O12,13.018343,0.005558223281493857
Li0.1429Al0.0924Ti0.0084P0.1513O0.6050,Li2.8333Al0.5Al1.3333Ti0.1667P3O12,13.018343,0.005684659743310508
Li0.1429Al0.0924Ti0.0084P0.1513O0.6050,Li2.8333Al0.8333Al1.0Ti0.1667P3O12,13.018343,0.005925189124079573
Li0.1429Al0.0924Ti0.0084P0.1513O0.6050,Li2.8333Al1.0Al0.8333Ti0.1667P3O12,13.018343,0.14952665500161974
Li0.1429Al0.0924Ti0.0084P0.1513O0.6050,Li2.8333Al1.3333Al0.5Ti0.1667P3O12,13.018343,0.1332838579324406
Li0.1429Al0.0924Ti0.0084P0.1513O0.6050,Li2.8333Al1.5Al0.3333Ti0.1667P3O12,13.018343,0.10621555799990338
Li0.1429Al0.0924Ti0.0084P0.1513O0.6050,Li2.8333Al1.8333Al0.0Ti0.1667P3O12,13.018343,
Li0.1500Al0.1000Ti0.0000P0.1500O0.6000,Li3.0Al0.0Al2.0Ti0.0P3O12,15.867943,
Li0.1500Al0.1000Ti0.0000P0.1500O0.6000,Li3.0Al0.1667Al1.8333Ti0.0P3O12,15.867943,
Li0.1500Al0.1000Ti0.0000P0.1500O0.6000,Li3.0Al0.3333Al1.6667Ti0.0P3O12,15.867943,
Li0.1500Al0.1000Ti0.0000P0.1500O0.6000,Li3.0Al0.5Al1.5Ti0.0P3O12,15.867943,
Li0.1500Al0.1000Ti0.0000P0.1500O0.6000,Li3.0Al0.6667Al1.3333Ti0.0P3O12,15.867943,
Li0.1500Al0.1000Ti0.0000P0.1500O0.6000,Li3.0Al0.8333Al1.1667Ti0.0P3O12,15.867943,
Li0.1500Al0.1000Ti0.0000P0.1500O0.6000,Li3.0Al1.0Al1.0Ti0.0P3O12,15.867943,
Li0.1500Al0.1000Ti0.0000P0.1500O0.6000,Li3.0Al1.1667Al0.8333Ti0.0P3O12,15.867943,
Li0.1500Al0.1000Ti0.0000P0.1500O0.6000,Li3.0Al1.3333Al0.6667Ti0.0P3O12,15.867943,
Li0.1500Al0.1000Ti0.0000P0.1500O0.6000,Li3.0Al1.5Al0.5Ti0.0P3O12,15.867943,
Li0.1500Al0.1000Ti0.0000P0.1500O0.6000,Li3.0Al1.6667Al0.3333Ti0.0P3O12,15.867943,
Li0.1500Al0.1000Ti0.0000P0.1500O0.6000,Li3.0Al1.8333Al0.1667Ti0.0P3O12,15.867943,
Li0.1500Al0.1000Ti0.0000P0.1500O0.6000,Li3.0Al2.0Al0.0Ti0.0P3O12,15.867943,
Li0.0556Al0.0000As0.0000Ti0.1111P0.1667O0.6667,Li1.0Al0.0As0.0Ti2.0P3O12,7.7087817,
Li0.0642Al0.0000As0.0092Ti0.1009P0.1651O0.6605,Li1.1667Al0.0As0.1667Ti1.8333P3O12,7.7087817,
Li0.0642Al0.0092As0.0000Ti0.1009P0.1651O0.6605,Li1.1667Al0.1667As0.0Ti1.8333P3O12,7.7087817,
Li0.0727Al0.0000As0.0182Ti0.0909P0.1636O0.6545,Li1.3333Al0.0As0.3333Ti1.6667P3O12,7.7087817,
Li0.0727Al0.0182As0.0000Ti0.0909P0.1636O0.6545,Li1.3333Al0.3333As0.0Ti1.6667P3O12,9.113234,
Li0.0811Al0.0000As0.0270Ti0.0811P0.1622O0.6486,Li1.5Al0.0As0.5Ti1.5P3O12,7.750805,
Li0.0811Al0.0090As0.0180Ti0.0811P0.1622O0.6486,Li1.5Al0.1667As0.3333Ti1.5P3O12,7.750805,0.7358379596348014
Li0.0811Al0.0180As0.0090Ti0.0811P0.1622O0.6486,Li1.5Al0.3333As0.1667Ti1.5P3O12,9.155256,2.265843212055255
Li0.0811Al0.0270As0.0000Ti0.0811P0.1622O0.6486,Li1.5Al0.5As0.0Ti1.5P3O12,9.155256,
Li0.0893Al0.0000As0.0357Ti0.0714P0.1607O0.6429,Li1.6667Al0.0As0.6667Ti1.3333P3O12,8.129335,
Li0.0893Al0.0089As0.0268Ti0.0714P0.1607O0.6429,Li1.6667Al0.1667As0.5Ti1.3333P3O12,8.129335,0.5260576432761582
Li0.0893Al0.0268As0.0089Ti0.0714P0.1607O0.6429,Li1.6667Al0.5As0.1667Ti1.3333P3O12,9.533785,2.9784623111739514
Li0.0893Al0.0357As0.0000Ti0.0714P0.1607O0.6429,Li1.6667Al0.6667As0.0Ti1.3333P3O12,9.533785,
Li0.0973Al0.0000As0.0442Ti0.0619P0.1593O0.6372,Li1.8333Al0.0As0.8333Ti1.1667P3O12,8.129335,
Li0.0973Al0.0177As0.0265Ti0.0619P0.1593O0.6372,Li1.8333Al0.3333As0.5Ti1.1667P3O12,9.533785,1.0313216078157734
Li0.0973Al0.0265As0.0177Ti0.0619P0.1593O0.6372,Li1.8333Al0.5As0.3333Ti1.1667P3O12,9.533785,1.891150130342018
Li0.0973Al0.0442As0.0000Ti0.0619P0.1593O0.6372,Li1.8333Al0.8333As0.0Ti1.1667P3O12,9.533785,
Li0.1053Al0.0000As0.0526Ti0.0526P0.1579O0.6316,Li2.0Al0.0As1.0Ti1.0P3O12,8.129335,
Li0.1053Al0.0088As0.0439Ti0.0526P0.1579O0.6316,Li2.0Al0.1667As0.8333Ti1.0P3O12,8.129335,0.30927869771694527
Li0.1053Al0.0175As0.0351Ti0.0526P0.1579O0.6316,Li2.0Al0.3333As0.6667Ti1.0P3O12,8.129335,0.7913721381732686
Li0.1053Al0.0263As0.0263Ti0.0526P0.1579O0.6316,Li2.0Al0.5As0.5Ti1.0P3O12,9.533785,1.3324113361178826
Li0.1053Al0.0351As0.0175Ti0.0526P0.1579O0.6316,Li2.0Al0.6667As0.3333Ti1.0P3O12,9.533785,2.0898900293290597
