max_depth,MAE
1,6.473997726249169
2,5.299912070207484
3,4.497721276437538
4,4.018103277941192
5,3.7203315315199856
6,3.5097265225723087
7,3.3953424896870756
8,3.36373963205589
9,3.280464965026094
10,3.2837592626469645
11,3.3581874284697535
12,3.299329131736782
13,3.3123046959470934
14,3.3458947402313055
15,3.3548331169966255
16,3.4472134024324546
17,3.3448703088782756
18,3.209697067304444
19,3.3139071703808813
20,3.2709093194928642
21,3.2558522521746256
22,3.2492633595143463
23,3.312374031801665
24,3.234542078573281
25,3.3132124441418016
26,3.298960841236417
27,3.268320916717114
28,3.239849879446747
29,3.1560818507175434
30,3.2750335106111876
31,3.2426875073137413
32,3.287331052982799
33,3.3070871509491457
34,3.4124206182391665
35,3.2674534435018168
36,3.1850149370437006
37,3.3181642788204515
38,3.285978109507104
39,3.3187631833800295
40,3.282209652902934
41,3.265694352197121
42,3.291397287326093
43,3.3165629280292386
44,3.3754396102900013
45,3.224366838844437
46,3.3588710246579287
47,3.4143145615714103
48,3.3073268865609
49,3.334949795248362
