n_estimators,mse
1,43.14964785507246
2,25.475756036231886
3,23.011249944354983
4,23.89868420834882
5,19.384757486906143
6,18.80241720434155
7,20.544853811502957
8,19.817411898433058
9,19.301137030417873
10,19.674910984757183
11,19.8891584994008
12,19.31625868630174
13,19.24510675309422
14,18.481657692311174
15,18.653187215705554
16,19.081909969542757
17,19.716833143207328
18,19.669214750884557
19,19.881903968493532
20,19.9563272656955
21,20.319374318623858
22,19.962787341200364
23,20.242200840706893
24,20.315179494850426
25,20.46784058640276
26,20.308116266959
27,20.34274031122193
28,20.30606906379552
29,20.554579270522517
30,20.983205196406836
31,20.837834809506028
32,20.89877173621619
33,21.407741577459117
34,21.501321302056546
35,21.512914375604684
36,21.40202915091062
37,21.039808523185066
38,21.168606085528246
39,21.50995394790738
40,21.77263804783888
41,22.102269109815264
42,22.168261167569867
43,22.0161547811231
44,21.72687177023765
45,21.696530661665726
46,21.56263601172397
47,21.55650372677022
48,21.68060864328694
49,21.63578330798585
50,21.892605586924653
51,21.984947233968146
52,21.85180623115297
53,21.773048178274834
54,21.843475804472646
55,21.799305331090927
56,21.586756465915347
57,21.693011455512764
58,22.015008519615346
59,21.82934569890752
60,21.566355689367743
61,21.616529368527278
62,21.505694929745946
63,21.32266704193187
64,21.339523951740976
65,21.22517131079324
66,21.130028000400987
67,21.286730807494408
68,20.868721929117047
69,20.728239169927722
70,20.766184045792063
71,20.698275072169704
72,20.719863170834756
73,20.601121637324706
74,20.550716832867984
75,20.575639510352026
76,20.656483563297076
77,20.414922067306954
78,20.46351364748048
79,20.26837627256889
80,20.263907132608654
81,20.3035468652018
82,20.346015137460782
83,20.329571756450527
84,20.27091915918747
85,20.129612992787248
86,20.205639033964335
87,20.23283633536448
88,20.320846416750477
89,20.368356085861397
90,20.33783403793634
91,20.194072426133143
92,20.286416285047043
93,20.352235028977894
94,20.270724028898552
95,20.368938946907818
96,20.34155219342487
97,20.438623175730413
98,20.367319713609767
99,20.268748007233917
100,20.276408369481437
101,20.358812680268024
102,20.41702396395218
103,20.45269771959076
104,20.5951344672797
105,20.502766836499863
106,20.536020422137526
107,20.437547357952326
108,20.4642857870263
109,20.483956276539335
110,20.569642357289485
111,20.58660605549662
112,20.628364621348613
113,20.53940539630311
114,20.455676304508543
115,20.526776962808242
116,20.60085432449735
117,20.67984533122024
118,20.75563196509321
119,20.68334657851173
120,20.709416443708633
121,20.686075258024015
122,20.785885274439085
123,20.852470692041287
124,20.737535368540705
125,20.712103894186953
126,20.731495443970424
127,20.673962208714006
128,20.672577290167347
129,20.579335172723525
130,20.542113699799675
131,20.436715936127303
132,20.467625019647173
133,20.46487780429151
134,20.561268623311715
135,20.48510041341802
136,20.567543462664617
137,20.60015754674854
138,20.63402317398599
139,20.54756137641396
140,20.541317100427207
141,20.589408938358506
142,20.544835139055568
143,20.571224892009155
144,20.512648130690046
145,20.40624513877499
146,20.34992194721096
147,20.348307281409273
148,20.321981560587666
149,20.318714346596156
150,20.25596571111735
151,20.253298001888492
152,20.181582362217455
153,20.16605336993749
154,20.097750302049928
155,20.12537520775804
156,20.18985709606808
157,20.220150314913987
158,20.141898105386822
159,20.19186652763662
160,20.262332091169032
161,20.2578339522399
162,20.32749872381717
163,20.393351878843607
164,20.3881250973929
165,20.345897299056556
166,20.272549177216764
167,20.25952427704727
168,20.28244511688824
169,20.213804625541638
170,20.15283509164841
171,20.183817480520574
172,20.2063371634394
173,20.16755842891289
174,20.193054486792217
175,20.198313858953156
176,20.27239471458159
177,20.360313393421755
178,20.376416066095373
179,20.355785644200903
180,20.346518630933886
181,20.350551190944383
182,20.345297400189168
183,20.307690019326763
184,20.268712417488427
185,20.233930256971377
186,20.216729615404315
187,20.223554894454022
188,20.1879663528368
189,20.270760322835972
190,20.30279328360575
191,20.264858151788438
192,20.23810018967956
193,20.257280553379523
194,20.272232138927986
195,20.270485798926448
196,20.279230230044366
197,20.293803696260795
198,20.3259550410752
199,20.290587898550505
200,20.283319041657318
201,20.238334100054477
202,20.23085212883135
203,20.29206138229321
204,20.288258273038014
205,20.294576439203166
206,20.319893049859385
207,20.2759705635509
208,20.270696545175202
209,20.260483586405595
210,20.21613800301508
211,20.170902433884404
212,20.11918507175395
213,20.153090706476522
214,20.1112236756434
215,20.167978519531932
216,20.202468317602392
217,20.130936719157237
218,20.18059589877891
219,20.2074304098828
220,20.205411916256697
221,20.234544396438352
222,20.292768918120764
223,20.393754888615213
224,20.418227008128373
225,20.367627709009607
226,20.35137707124368
227,20.36140496683857
228,20.385864525992535
229,20.434435777545136
230,20.42260822170318
231,20.44945421804189
232,20.444283826794095
233,20.462297908178233
234,20.472307127620514
235,20.52361758574163
236,20.579112327215388
237,20.518740015331637
238,20.561054658597108
239,20.572342682851108
240,20.58992321982942
241,20.637251543271372
242,20.633633552086646
243,20.578325790031926
244,20.61092814704142
245,20.547378296399803
246,20.518752476911708
247,20.517430505796888
248,20.546148245685668
249,20.548242348802088
250,20.586028335004787
251,20.574694171657008
252,20.574982763134898
253,20.559483813687812
254,20.588594291624418
255,20.61850159253129
256,20.636046198648103
257,20.689922119103013
258,20.62996849362838
259,20.662963391201146
260,20.725107644580383
261,20.73400808860951
262,20.786078967019634
263,20.787633346010317
264,20.8336667807056
265,20.86621825456905
266,20.879032902137272
267,20.88473188631315
268,20.909206405987106
269,20.914455409294128
270,20.921314263096257
271,20.92776552791842
272,20.929846598398704
273,20.938846595061264
274,20.884514480860926
275,20.903356802320033
276,20.85318766862927
277,20.820542592506712
278,20.84424069102547
279,20.915864101621693
280,20.89354960400189
281,20.893032234335372
282,20.857501438855124
283,20.92169858697115
284,20.886877922650868
285,20.90211707630096
286,20.933514482095926
287,20.92196757363152
288,20.917792065508074
289,20.91839716542393
290,20.885653694531783
291,20.911204592036306
292,20.941873724385143
293,20.900427724525347
294,20.904883166758754
295,20.94997261802232
296,20.996820418445278
297,21.066249236955876
298,21.03526437381051
299,21.008920097897363
300,21.016849021028694
