reg_lambda,MAE
1,3.22634697183197
2,3.1253173621656156
3,3.3947066266455432
4,3.170885334160527
5,3.1229517937558198
6,3.0861436334369756
7,3.066268664182607
8,3.1648822888935744
9,3.186114120844992
10,2.9832622708605605
