gamma,MAE
0.1,5.961211898999449
0.2,4.874226193422504
0.3,4.444141010373046
0.4,4.2904081196228585
0.5,4.042507157860105
0.6,3.8887663951028872
0.7,3.8254930311602013
0.8,3.7738894016013544
0.9,3.733931616405292
1.0,3.7539914597709894
