testset real,testset predict
13.0,12.628358395988723
1.0,5.432906015012532
20.3,18.22047619047619
19.3,20.32428571428571
14.2,12.699285714285713
20.8,19.840285714285717
14.0,12.606428571428571
19.0,17.99857142857143
-3.0,-1.1090476192857146
10.8,11.664285714285713
11.29,10.071215538845864
-6.084,-6.167349999999998
11.87,8.92696825397619
-7.0,-2.109285714285714
19.2,16.810714285714287
4.71,4.687142857142858
-6.99,-3.0385714285714287
17.5,16.264714285714287
16.7,17.270714285714284
2.21,3.857214285714286
-2.76,-2.6028571428571423
5.89,5.9192857142857145
13.1,14.535714285714288
5.2,5.792535714285714
-0.06,-1.9142857142857144
9.5,11.169071428571428
-2.17,-1.9692857142857143
2.77,4.7835714285714275
-2.02,0.9878571428571432
11.8,3.0300000000000007
11.35,10.721428571428572
-4.19,-2.9957142857142856
18.9,16.07971428571429
-6.8,-0.7597619047619049
23.4,9.849286967393484
-4.2,3.6865952380952374
14.2,18.63692982456015
14.6,13.324285714285713
17.4,15.147142857142859
12.8,12.807142857142859
13.3,14.523064285714288
13.8,14.02857142857143
4.3,9.849286967393484
1.0,1.4592857142857143
14.3,11.855810776941103
-4.2,2.115714285714286
11.6,10.69550125313158
0.2,0.9242857142857142
6.0,4.443595237857143
15.6,14.256929824560155
0.708,6.840499999999999
15.4,14.929000000000002
25.8,18.4
11.6,9.849286967393484
17.5,10.87172619045238
18.3,18.570666666666664
-17.46666667,-3.038333335
20.3,18.936857142857143
17.6,19.62857142857143
14.8,14.929000000000002
0.17,-0.17200000000000035
-18.0,-6.770714285714285
12.8,15.007142857142858
9.4,7.194285714285713
22.49,20.391929824560147
20.6,19.599285714285713
-1.85,1.7505714285714284
0.94,3.38745238095238
18.9,18.23614285714286
