leaf_size,mse
1,21.832599987655392
2,21.832599987655392
3,21.832599987655392
4,21.832599987655392
5,21.832599987655392
6,21.832599987655392
7,21.832599987655392
8,21.832599987655392
9,21.832599987655392
10,21.832599987655392
11,21.832599987655392
12,21.832599987655392
13,21.832599987655392
14,21.832599987655392
15,21.832599987655392
16,21.832599987655392
17,21.832599987655392
18,21.832599987655392
19,21.832599987655392
20,21.832599987655392
21,21.832599987655392
22,21.832599987655392
23,21.832599987655392
24,21.832599987655392
25,21.832599987655392
26,21.832599987655392
27,21.832599987655392
28,21.832599987655392
29,21.832599987655392
30,21.832599987655392
31,21.832599987655392
32,21.832599987655392
33,21.832599987655392
34,21.832599987655392
35,21.832599987655392
36,21.832599987655392
37,21.832599987655392
38,21.832599987655392
39,21.832599987655392
40,21.832599987655392
41,21.832599987655392
42,21.832599987655392
43,21.832599987655392
44,21.832599987655392
45,21.832599987655392
46,21.832599987655392
47,21.832599987655392
48,21.832599987655392
49,21.832599987655392
50,21.832599987655392
51,21.832599987655392
52,21.832599987655392
53,21.832599987655392
54,21.832599987655392
55,21.832599987655392
56,21.832599987655392
57,21.832599987655392
58,21.832599987655392
59,21.832599987655392
60,21.832599987655392
61,21.832599987655392
62,21.832599987655392
63,21.832599987655392
64,21.832599987655392
65,21.832599987655392
66,21.832599987655392
67,21.832599987655392
68,21.832599987655392
69,21.832599987655392
70,21.832599987655392
71,21.832599987655392
72,21.832599987655392
73,21.832599987655392
74,21.832599987655392
75,21.832599987655392
76,21.832599987655392
77,21.832599987655392
78,21.832599987655392
79,21.832599987655392
80,21.832599987655392
81,21.832599987655392
82,21.832599987655392
83,21.832599987655392
84,21.832599987655392
85,21.832599987655392
86,21.832599987655392
87,21.832599987655392
88,21.832599987655392
89,21.832599987655392
90,21.832599987655392
91,21.832599987655392
92,21.832599987655392
93,21.832599987655392
94,21.832599987655392
95,21.832599987655392
96,21.832599987655392
97,21.832599987655392
98,21.832599987655392
99,21.832599987655392
100,21.832599987655392
101,21.832599987655392
102,21.832599987655392
103,21.832599987655392
104,21.832599987655392
105,21.832599987655392
106,21.832599987655392
107,21.832599987655392
108,21.832599987655392
109,21.832599987655392
110,21.832599987655392
111,21.832599987655392
112,21.832599987655392
113,21.832599987655392
114,21.832599987655392
115,21.832599987655392
116,21.832599987655392
117,21.832599987655392
118,21.832599987655392
119,21.832599987655392
120,21.832599987655392
121,21.832599987655392
122,21.832599987655392
123,21.832599987655392
124,21.832599987655392
125,21.832599987655392
126,21.832599987655392
127,21.832599987655392
128,21.832599987655392
129,21.832599987655392
130,21.832599987655392
131,21.832599987655392
132,21.832599987655392
133,21.832599987655392
134,21.832599987655392
135,21.832599987655392
136,21.832599987655392
137,21.832599987655392
138,21.832599987655392
