min_samples_leaf,mse
1,16.802712680936878
2,56.83593560030993
3,67.31379547173677
4,81.6399893981463
5,82.87029782583426
6,81.16249079008142
7,86.83187674291732
8,86.83187674291732
9,91.02305578526308
10,91.07248546925668
11,91.10214381233952
12,93.33175318787531
13,95.16935956162847
14,95.16935956162847
15,95.16935956162847
16,95.38318707451404
17,95.38318707451404
18,95.3198189283573
19,95.3198189283573
20,95.3198189283573
21,95.3198189283573
22,95.3198189283573
23,95.3198189283573
24,95.3198189283573
25,95.3198189283573
26,95.3198189283573
27,95.3198189283573
28,95.3198189283573
29,95.3198189283573
30,95.3198189283573
31,95.3198189283573
32,95.3198189283573
33,95.3198189283573
34,95.3198189283573
35,95.3198189283573
36,95.3198189283573
37,95.3198189283573
38,95.3198189283573
39,95.3198189283573
40,95.3198189283573
41,95.3198189283573
42,95.3198189283573
43,95.3198189283573
44,95.3198189283573
45,95.3198189283573
46,95.3198189283573
47,95.3198189283573
48,95.3198189283573
49,95.3198189283573
50,95.3198189283573
51,95.3198189283573
52,95.3198189283573
53,95.3198189283573
54,95.3198189283573
55,95.3198189283573
56,95.3198189283573
57,95.3198189283573
58,95.3198189283573
59,95.3198189283573
60,95.3198189283573
61,95.3198189283573
62,95.3198189283573
63,95.3198189283573
64,95.3198189283573
65,95.3198189283573
66,95.3198189283573
67,95.3198189283573
68,95.3198189283573
69,95.3198189283573
70,98.68372203279337
71,98.68372203279337
72,98.68372203279337
73,98.68372203279337
74,98.68372203279337
75,98.68372203279337
76,98.68372203279337
77,98.68372203279337
78,98.68372203279337
79,98.68372203279337
80,98.68372203279337
81,98.68372203279337
82,98.68372203279337
83,98.68372203279337
84,98.68372203279337
85,98.68372203279337
86,98.68372203279337
87,98.68372203279337
88,98.68372203279337
89,98.68372203279337
90,98.68372203279337
91,98.68372203279337
92,98.68372203279337
93,98.68372203279337
94,98.68372203279337
95,98.68372203279337
96,98.68372203279337
97,98.68372203279337
98,98.68372203279337
99,98.68372203279337
100,98.68372203279337
101,98.68372203279337
102,98.68372203279337
103,98.68372203279337
104,98.68372203279337
105,98.68372203279337
106,98.68372203279337
107,98.68372203279337
108,98.68372203279337
109,98.68372203279337
110,98.68372203279337
111,98.68372203279337
112,98.68372203279337
113,98.68372203279337
114,98.68372203279337
115,98.68372203279337
116,98.68372203279337
117,98.68372203279337
118,98.68372203279337
119,98.68372203279337
120,98.68372203279337
121,98.68372203279337
122,98.68372203279337
123,98.68372203279337
124,98.68372203279337
125,98.68372203279337
126,98.68372203279337
127,98.68372203279337
128,98.68372203279337
129,98.68372203279337
130,98.68372203279337
131,98.68372203279337
132,98.68372203279337
133,98.68372203279337
134,98.68372203279337
135,98.68372203279337
136,98.68372203279337
137,98.68372203279337
138,98.68372203279337
139,98.68372203279337
140,98.68372203279337
141,98.68372203279337
142,98.68372203279337
143,98.68372203279337
144,98.68372203279337
145,98.68372203279337
146,98.68372203279337
147,98.68372203279337
148,98.68372203279337
