reg_lambda,mse
1,25.71132997671713
2,24.355958970755925
3,28.020327996890387
4,24.542451292201864
5,24.5818517980811
6,22.832773192193326
7,22.44626389317235
8,23.479145919783022
9,25.90204010321469
10,20.800671576160738
