max_depth,mse
1,67.0554832273282
2,50.04909797907907
3,38.85260199235319
4,32.50328612832293
5,28.786392348251525
6,27.026215974829938
7,26.594765496382198
8,26.376991672084273
9,25.34637104125302
10,25.84774830644557
11,27.75607412197898
12,28.07232936610455
13,27.97549368869511
14,29.140531054380425
15,30.780562711744953
16,31.377958655701853
17,29.53538614823017
18,27.427427304110893
19,29.583955478306983
20,28.912097134194134
21,28.831602762585604
22,29.50126093993584
23,31.70575415609876
24,28.568225733053062
25,30.33663601650553
26,30.476258582507736
27,29.61693768210689
28,29.674654831971413
29,28.1699029592726
30,30.691810715990876
31,30.48703314135875
32,31.867574965355374
33,31.398876005050315
34,33.25176237513167
35,30.455521134149166
36,28.090545864457383
37,31.860217237756896
38,30.406341799973188
39,31.815643004783627
40,30.918908402043666
41,31.132787107079142
42,30.722471718862565
43,30.41053252497676
44,32.256020802242055
45,29.84759900301804
46,31.772496895579525
47,32.8831673058322
48,30.69496816564741
49,29.118550495916786
