min_samples_leaf,MAE
1,2.7391191626652858
2,6.164677686489196
3,6.790683533387538
4,7.588034010142289
5,7.656235171096006
6,7.491091384170955
7,7.821916197479025
8,7.821916197479025
9,7.994129769515477
10,7.9995180864955815
11,8.002807215327687
12,8.130162706989438
13,8.226425782287377
14,8.226425782287377
15,8.226425782287377
16,8.244950430157884
17,8.244950430157884
18,8.256320997870034
19,8.256320997870034
20,8.256320997870034
21,8.256320997870034
22,8.256320997870034
23,8.256320997870034
24,8.256320997870034
25,8.256320997870034
26,8.256320997870034
27,8.256320997870034
28,8.256320997870034
29,8.256320997870034
30,8.256320997870034
31,8.256320997870034
32,8.256320997870034
33,8.256320997870034
34,8.256320997870034
35,8.256320997870034
36,8.256320997870034
37,8.256320997870034
38,8.256320997870034
39,8.256320997870034
40,8.256320997870034
41,8.256320997870034
42,8.256320997870034
43,8.256320997870034
44,8.256320997870034
45,8.256320997870034
46,8.256320997870034
47,8.256320997870034
48,8.256320997870034
49,8.256320997870034
50,8.256320997870034
51,8.256320997870034
52,8.256320997870034
53,8.256320997870034
54,8.256320997870034
55,8.256320997870034
56,8.256320997870034
57,8.256320997870034
58,8.256320997870034
59,8.256320997870034
60,8.256320997870034
61,8.256320997870034
62,8.256320997870034
63,8.256320997870034
64,8.256320997870034
65,8.256320997870034
66,8.256320997870034
67,8.256320997870034
68,8.256320997870034
69,8.256320997870034
70,8.407641306535433
71,8.407641306535433
72,8.407641306535433
73,8.407641306535433
74,8.407641306535433
75,8.407641306535433
76,8.407641306535433
77,8.407641306535433
78,8.407641306535433
79,8.407641306535433
80,8.407641306535433
81,8.407641306535433
82,8.407641306535433
83,8.407641306535433
84,8.407641306535433
85,8.407641306535433
86,8.407641306535433
87,8.407641306535433
88,8.407641306535433
89,8.407641306535433
90,8.407641306535433
91,8.407641306535433
92,8.407641306535433
93,8.407641306535433
94,8.407641306535433
95,8.407641306535433
96,8.407641306535433
97,8.407641306535433
98,8.407641306535433
99,8.407641306535433
100,8.407641306535433
101,8.407641306535433
102,8.407641306535433
103,8.407641306535433
104,8.407641306535433
105,8.407641306535433
106,8.407641306535433
107,8.407641306535433
108,8.407641306535433
109,8.407641306535433
110,8.407641306535433
111,8.407641306535433
112,8.407641306535433
113,8.407641306535433
114,8.407641306535433
115,8.407641306535433
116,8.407641306535433
117,8.407641306535433
118,8.407641306535433
119,8.407641306535433
120,8.407641306535433
121,8.407641306535433
122,8.407641306535433
123,8.407641306535433
124,8.407641306535433
125,8.407641306535433
126,8.407641306535433
127,8.407641306535433
128,8.407641306535433
129,8.407641306535433
130,8.407641306535433
131,8.407641306535433
132,8.407641306535433
133,8.407641306535433
134,8.407641306535433
135,8.407641306535433
136,8.407641306535433
137,8.407641306535433
138,8.407641306535433
139,8.407641306535433
140,8.407641306535433
141,8.407641306535433
142,8.407641306535433
143,8.407641306535433
144,8.407641306535433
145,8.407641306535433
146,8.407641306535433
147,8.407641306535433
148,8.407641306535433
149,8.407641306535433
150,8.407641306535433
151,8.407641306535433
152,8.407641306535433
153,8.407641306535433
154,8.407641306535433
155,8.407641306535433
156,8.407641306535433
157,8.407641306535433
158,8.407641306535433
159,8.407641306535433
160,8.407641306535433
161,8.407641306535433
162,8.407641306535433
163,8.407641306535433
164,8.407641306535433
165,8.407641306535433
166,8.407641306535433
167,8.407641306535433
168,8.407641306535433
169,8.407641306535433
170,8.407641306535433
171,8.407641306535433
172,8.407641306535433
173,8.407641306535433
174,8.407641306535433
175,8.407641306535433
176,8.407641306535433
177,8.407641306535433
178,8.407641306535433
179,8.407641306535433
180,8.407641306535433
181,8.407641306535433
182,8.407641306535433
183,8.407641306535433
184,8.407641306535433
185,8.407641306535433
186,8.407641306535433
187,8.407641306535433
188,8.407641306535433
189,8.407641306535433
190,8.407641306535433
191,8.407641306535433
192,8.407641306535433
193,8.407641306535433
194,8.407641306535433
195,8.407641306535433
196,8.407641306535433
197,8.407641306535433
198,8.407641306535433
199,8.407641306535433
200,8.407641306535433
201,8.407641306535433
202,8.407641306535433
203,8.407641306535433
204,8.407641306535433
205,8.407641306535433
206,8.407641306535433
207,8.407641306535433
208,8.407641306535433
209,8.407641306535433
210,8.407641306535433
211,8.407641306535433
212,8.407641306535433
213,8.407641306535433
214,8.407641306535433
215,8.407641306535433
216,8.407641306535433
217,8.407641306535433
218,8.407641306535433
219,8.407641306535433
220,8.407641306535433
221,8.407641306535433
222,8.407641306535433
223,8.407641306535433
224,8.407641306535433
225,8.407641306535433
226,8.407641306535433
227,8.407641306535433
228,8.407641306535433
229,8.407641306535433
230,8.407641306535433
231,8.407641306535433
232,8.407641306535433
233,8.407641306535433
234,8.407641306535433
235,8.407641306535433
236,8.407641306535433
237,8.407641306535433
238,8.407641306535433
239,8.407641306535433
240,8.407641306535433
241,8.407641306535433
242,8.407641306535433
243,8.407641306535433
244,8.407641306535433
245,8.407641306535433
246,8.407641306535433
247,8.407641306535433
248,8.407641306535433
249,8.407641306535433
250,8.407641306535433
251,8.407641306535433
252,8.407641306535433
253,8.407641306535433
254,8.407641306535433
255,8.407641306535433
256,8.407641306535433
257,8.407641306535433
258,8.407641306535433
259,8.407641306535433
260,8.407641306535433
261,8.407641306535433
262,8.407641306535433
263,8.407641306535433
264,8.407641306535433
265,8.407641306535433
266,8.407641306535433
267,8.407641306535433
268,8.407641306535433
269,8.407641306535433
270,8.407641306535433
271,8.407641306535433
272,8.407641306535433
273,8.407641306535433
274,8.407641306535433
275,8.407641306535433
276,8.407641306535433
277,8.407641306535433
278,8.407641306535433
279,8.407641306535433
280,8.407641306535433
281,8.407641306535433
282,8.407641306535433
283,8.407641306535433
284,8.407641306535433
285,8.407641306535433
286,8.407641306535433
287,8.407641306535433
288,8.407641306535433
289,8.407641306535433
290,8.407641306535433
291,8.407641306535433
292,8.407641306535433
293,8.407641306535433
294,8.407641306535433
295,8.407641306535433
296,8.407641306535433
297,8.407641306535433
298,8.407641306535433
299,8.407641306535433
300,8.407641306535433
