gamma,mse
1,59.49631820166856
2,46.538156723067324
3,43.08742168606301
4,41.53058756693178
5,38.155532929155335
6,35.929451172418226
7,34.078371529628065
8,33.322171164525
9,32.522369771321245
10,32.08932716314049
