n_estimators,MAE
1,4.022695652173915
2,3.2853333333333326
3,3.1232737520128824
4,3.3986496376932367
5,3.087612463777778
6,2.927424476666667
7,3.035452173933747
8,3.0467609903623187
9,3.042579978556092
10,3.044132608724637
11,3.0104036890909094
12,2.9757053945531395
13,2.9568455964622813
14,2.920264665314009
15,2.9234070853719802
16,2.9886736111410017
17,3.02330755899659
18,3.029018062297101
19,3.0427297991657767
20,3.051183647371739
21,3.061252657032206
22,3.027946047458937
23,3.0453121193293415
24,3.064475845440217
25,3.068031111141449
26,3.050387588288183
27,3.0696915906561095
28,3.0733795475034253
29,3.0969921468149018
30,3.123566643694019
31,3.112683541516485
32,3.119281142198261
33,3.1554484388729738
34,3.1561458206793533
35,3.1552040422293013
36,3.1549930603799363
37,3.1493041240320254
38,3.163880788960245
39,3.1812066500645724
40,3.198544237437354
41,3.207974076350923
42,3.192606508626672
43,3.174335882035759
44,3.1511257999561137
45,3.1474994939345446
46,3.143561781769616
47,3.1481615053983227
48,3.1551350931995055
49,3.1534560767071165
50,3.1686433802947134
51,3.1751578749692415
52,3.169719684694378
53,3.1665026602907926
54,3.1674337704464377
55,3.1584742807255415
56,3.1356841516623777
57,3.1368327727841585
58,3.158675236223412
59,3.1509959785554154
60,3.1527820359176557
61,3.1513513016628885
62,3.153996874403716
63,3.134141238103465
64,3.132153976910273
65,3.1340406455687324
66,3.1292621055590164
67,3.1445786203869988
68,3.118668074361944
69,3.1137771346859013
70,3.118768172168235
71,3.1091997356417442
72,3.106149920792983
73,3.1014165360758055
74,3.1003520875213137
75,3.1075091321514647
76,3.108993025467931
77,3.0974105826376492
78,3.097975738675925
79,3.0862841849612606
80,3.0858363089777465
81,3.089014091769039
82,3.0931353998292384
83,3.085686605942698
84,3.0960224049172695
85,3.0903626698892572
86,3.09355168951306
87,3.0919571423572374
88,3.0983998230517953
89,3.1020822980362315
90,3.097731550011889
91,3.086385718358629
92,3.0929679571902704
93,3.096061024193055
94,3.0981266202456315
95,3.1049128287185095
96,3.1010881026947206
97,3.1072640956596187
98,3.1056108585600652
99,3.097239880776338
100,3.0969684964613284
101,3.1034757358818816
102,3.1031400828877764
103,3.103142897148469
104,3.1069031359212422
105,3.100092510242581
106,3.0990582312520516
107,3.08793890063355
108,3.090259000274758
109,3.0886761605345696
110,3.0897318932872855
111,3.0907256347722267
112,3.093969759755499
113,3.089705181915287
114,3.0836583146957564
115,3.087157358126464
116,3.090273984266178
117,3.09685919774555
118,3.0988900315327714
119,3.09626423538422
120,3.095521977061935
121,3.0925730790201413
122,3.099302550496455
123,3.1040812069540658
124,3.1013655489429444
125,3.0974527115079216
126,3.0955459614837952
127,3.0918071994914347
128,3.089211936422114
129,3.086178106109438
130,3.0841546513355755
131,3.0777626458472667
132,3.076407292762382
133,3.075861315151986
134,3.085624012814887
135,3.0856966136152923
136,3.0867021834146535
137,3.086817866197303
138,3.0860688009343042
139,3.086607457251219
140,3.0833011410451796
141,3.0831692557473986
142,3.0844325395488643
143,3.0841770233272285
144,3.0824578659259023
145,3.077166752207873
146,3.0742950852868542
147,3.0759308247901442
148,3.0764108260722116
149,3.078247491085735
150,3.074285390259816
151,3.076940623919539
152,3.074245457724797
153,3.074974929173787
154,3.0702342675783623
155,3.068949461800625
156,3.072297147339063
157,3.0724595058888893
158,3.0709486785878135
159,3.0718978057880775
160,3.074103788705073
161,3.0704843664869927
162,3.072946098942029
163,3.0813179953745298
164,3.079708038232945
165,3.0780684872476067
166,3.0766876544424666
167,3.0762511840655224
168,3.0778865320656164
169,3.074542493185544
170,3.071435778321111
171,3.076971919629344
172,3.0813182518576534
173,3.0782440601809467
174,3.0793815880709614
175,3.0782277719569326
176,3.0828001767443425
177,3.0890614383351043
178,3.096001765162565
179,3.0937546228156934
180,3.0888894535480382
181,3.0875651383670943
182,3.087323062037478
183,3.086212403030541
184,3.084324573073144
185,3.0813992863964814
186,3.080533626111715
187,3.0800545008283153
188,3.0790128577593605
189,3.0831186098349375
190,3.0866201976245176
191,3.0849577578617944
192,3.084786077712152
193,3.084291481379735
194,3.0826156065978045
195,3.0811116023722187
196,3.079243193082782
197,3.0793974798242885
198,3.0824485392515646
199,3.0796927834771592
200,3.079864416178373
201,3.078037645823892
202,3.076821503080395
203,3.0812688734157594
204,3.078528022397783
205,3.0797003259058227
206,3.0842288431551896
207,3.0805531594628484
208,3.080181352885164
209,3.0779440475654165
210,3.0748919330531996
211,3.073859292758492
212,3.072135797325054
213,3.074508183752073
214,3.074980893715578
215,3.0779009848291805
216,3.078492738634654
217,3.0746948803366654
218,3.0779673653734583
219,3.0776826667075343
220,3.0748463401375186
221,3.076164280277912
222,3.079244338466373
223,3.0864100719196657
224,3.0863185673284077
225,3.079805080620153
226,3.078298889100158
227,3.0793614348725655
228,3.0803125151120008
229,3.08523710447073
230,3.084407823514214
231,3.0871603295380665
232,3.084603666448686
233,3.0851395052462265
234,3.0859616370936194
235,3.087921672886231
236,3.091407202345621
237,3.091028285309286
238,3.0949220080584636
239,3.0944681169326356
240,3.0931935617755286
241,3.095449684982511
242,3.098001725450604
243,3.0955359045492647
244,3.0972788377035823
245,3.092722991910333
246,3.091115265204441
247,3.0922983734233127
248,3.0945287621700275
249,3.0932052370789545
250,3.094368358159798
251,3.09338407788709
252,3.0925755796100676
253,3.091114930682812
254,3.0918347984862398
255,3.090570011079085
