min_child_weight,mse
1,55.34725173071022
2,34.55853691773645
3,29.000318743655747
4,32.54932010970629
5,35.102677381065824
6,32.761223645153194
7,33.227467093012166
8,31.918759908167953
9,31.33764440791877
10,34.508332428561744
11,36.034952278104356
12,34.644000913604565
13,34.28567523363362
14,36.06508637457691
15,36.69549936269524
16,36.28958484468647
17,38.38809956476905
18,38.876431995518324
19,39.01602550587227
20,38.814501648596945
21,40.435220905262284
22,39.88562469295706
23,39.92287466367201
24,39.41673867553877
25,39.83989971422107
26,40.355579197963266
27,38.834766868207076
28,37.87193324765587
29,38.588198758264845
30,37.370029203955454
31,41.96731791252594
32,40.620791884728234
33,41.72492399031188
34,37.75907404059805
35,37.855707252312946
36,37.20105562390705
37,37.22340346581128
38,37.84514404803049
39,38.05789330350274
40,39.096016011567094
41,38.570913020341266
42,36.89734415891403
43,37.289007490175095
44,38.59786841890105
45,37.88728839571237
46,37.33890667065245
47,37.66672259065564
48,37.64774519057626
49,37.273839036494806
