p,mse
1,22.475799562931737
2,21.832599987655392
3,22.845046364466985
4,23.19238149490177
5,21.295896726785827
6,23.524450802872785
7,31.063327614466992
8,31.45328957098873
9,28.75745733548148
10,28.646371092727858
