n_estimators,MAE
1,6.807763089251337
2,5.6237641741733535
3,4.823555718244497
4,4.447379897347906
5,4.089888642886921
6,3.888285966833942
7,3.7514837484589436
8,3.7140209429666533
9,3.5593380892955655
10,3.503516667907299
11,3.489903315166279
12,3.4391136967087057
13,3.39936493004456
14,3.393955684138891
15,3.358328440654615
16,3.313521201004663
17,3.297138648429289
18,3.2974555956268574
19,3.2832169746131057
20,3.248658203369112
21,3.2112064069065416
22,3.2129295639184856
23,3.2048121075514353
24,3.2074980165462486
25,3.1958280784311426
26,3.182398671670747
27,3.1799568818778154
28,3.159514487635045
29,3.1589020495644435
30,3.1511903142398605
31,3.1409290792100593
32,3.1438225844447087
33,3.1369699002854987
34,3.1258408527258434
35,3.126411153145969
36,3.1116180062800134
37,3.0956224347876384
38,3.0926865538035533
39,3.0869907028507413
40,3.0804973932786184
41,3.08499678352483
42,3.0893880486130634
43,3.0839564190036928
44,3.081719582286944
45,3.0689114498561625
46,3.0716426193356434
47,3.0709481561171756
48,3.0493469110939735
49,3.047801253811683
50,3.0433498935929166
51,3.0381820274942086
52,3.0381893590382827
53,3.0396212491942407
54,3.0240976442967558
55,3.0232456423049308
56,3.0230834963171302
57,3.0245192979199222
58,3.021187825011681
59,3.0177388722124228
60,3.0211007417618285
61,3.0252799764738487
62,3.025669621538935
63,3.026669600889813
64,3.0291558281050133
65,3.0302867925500445
66,3.0277933378656625
67,3.0280037647214413
68,3.028156897450349
69,3.029848253293824
70,3.0289848059662794
71,3.0289982196028604
72,3.0300926150606946
73,3.022013847809417
74,3.023876099049691
75,3.0191020475769306
76,3.0208537296096405
77,3.0299936150282973
78,3.031076875025458
79,3.02482555024744
80,3.030054211356148
81,3.0278138973562534
82,3.0260187713120215
83,3.0235770851793418
84,3.024659505528463
85,3.0287864827579267
86,3.0269345871768056
87,3.0329644245501797
88,3.03679632768993
89,3.0383125247286635
90,3.0355144926591118
91,3.0310017524409907
92,3.0374521187237993
93,3.0370584792836772
94,3.036429273649049
95,3.0369370758521304
96,3.0321500793562337
97,3.036748588688642
98,3.0353525304263838
99,3.0344433850988017
100,3.033072198386288
101,3.0333957738622295
102,3.0342892526704253
103,3.0307997635297075
104,3.0408865988242373
105,3.041696938655161
106,3.037252384422992
107,3.038954509944666
108,3.0368145826058033
109,3.037533169292532
110,3.0400623619544254
111,3.0416284748597344
112,3.040566757190565
113,3.0403728330468707
114,3.0385120123180713
115,3.038884532709563
116,3.038777902591566
117,3.0386095151508985
118,3.0368748714082403
119,3.037759402609036
120,3.0397231337804644
121,3.0389680103103243
122,3.033969675370395
123,3.0400829281483794
124,3.0403740614208545
125,3.040457409446301
126,3.0396108244628066
127,3.0399337261471118
128,3.0401551841813506
129,3.0398271133058232
130,3.039206673873154
131,3.040941469650848
132,3.0416066626695537
133,3.0420894983009936
134,3.044356473717647
135,3.0445433213214863
136,3.044467304840114
137,3.043662084097958
138,3.042541205795425
139,3.0433281719672425
140,3.04391567853792
141,3.0425127732396047
142,3.0435231825394826
143,3.043112613652574
144,3.0423328587789387
145,3.043175677094417
146,3.042354494401157
147,3.0421664737088014
148,3.0427169096457707
149,3.042349644829044
150,3.043100248712207
151,3.043929727680952
152,3.0436320327145387
153,3.0427849245923073
154,3.046129515705412
155,3.046694334502316
156,3.0470695808128956
157,3.0456734707205113
158,3.046627556222583
159,3.0452929252978604
160,3.0453634090860606
161,3.0449488164537115
162,3.043917474693657
163,3.04441220879433
164,3.0444747902160025
165,3.0451057839899742
166,3.0457521111192833
167,3.0459465000064396
168,3.045082528088914
169,3.044985139282364
170,3.0449307919400246
171,3.0450873690226725
172,3.0456558643031735
173,3.0438177086119986
174,3.0473571121680485
175,3.0466194813653966
176,3.0467696107803834
177,3.047234178020117
178,3.046705944381409
179,3.0467882523489958
180,3.045740523630805
181,3.0473594237916632
182,3.0465460173449577
183,3.0462617982112765
184,3.0465038172564567
185,3.045573965793581
186,3.04506362218666
187,3.0455155031392462
188,3.0446055699937506
189,3.045201281273357
190,3.0445442134907204
191,3.0442570417675343
192,3.042825709649265
193,3.0421742066944777
194,3.0419089021014054
195,3.0412320870408034
196,3.040064568535652
197,3.040743144092863
198,3.040007025002216
199,3.0401578834943073
200,3.0402962077342868
201,3.0407695774570676
202,3.039500947014656
203,3.0399893699336666
204,3.040050095836832
205,3.040906023718819
206,3.0396807733641076
207,3.0401780920603922
208,3.039911849342041
209,3.0394610119026564
210,3.0394860976835876
211,3.0398824409286105
212,3.039875620084043
213,3.039448755805554
214,3.0397240998940114
215,3.0397350066801696
216,3.040055783329313
217,3.0395370328759723
218,3.0390199081609137
219,3.0399626376824025
220,3.0389328940178957
221,3.0401189763464713
222,3.040020661508338
223,3.0376087586936666
224,3.037208407252242
225,3.0374640334331393
226,3.0374594464669977
227,3.0382004928749464
228,3.0417588936233786
229,3.0414384193166364
230,3.0411809773536618
231,3.040368923673242
232,3.039073533336832
233,3.0393732894145846
234,3.0395748170377472
235,3.039177957219137
236,3.039865150398613
237,3.0394603726644367
238,3.0390101329991706
239,3.039043420033689
240,3.040226478938254
241,3.0410493253785553
242,3.039646140473987
243,3.0394632025893107
244,3.0389387767371847
245,3.0392226555197057
246,3.03959398036296
247,3.0401179898464084
248,3.0399399931004005
249,3.0395860434430153
250,3.039837901573761
251,3.0406784480020543
252,3.039696108170688
253,3.039033387448987
254,3.0408409527234332
255,3.0410647534793624
256,3.0402397543611657
257,3.0395871301479884
258,3.03979832408963
259,3.039551909849774
260,3.039833537477161
261,3.040494146985067
262,3.040071382469536
263,3.0395628563723625
264,3.04017258251801
265,3.039921959671932
266,3.0400765343840495
267,3.0396383486783947
268,3.040154276117545
269,3.040237263059781
270,3.039440754961787
271,3.0394082989369537
272,3.0397376586549445
273,3.0399350346850236
274,3.0424860132765
275,3.0436571564351227
276,3.0466810849253605
277,3.0451431797022326
278,3.046134518971124
279,3.0456448469460797
280,3.046323548623264
281,3.048413527615339
282,3.048788720713656
283,3.049162398644626
284,3.0512810500623444
